Gene.symbol	P.Value	logFC
Inppl1	0.0168	0.39690743
A730018C14Rik	0.0169	-0.32019212
Scgb1b2	0.0169	-0.22858645
Zfp30	0.0169	0.2714165
Pex11g	0.0169	-0.22053098
Pih1d1	0.0169	-0.30147318
Gm34285	0.0169	-0.30026844
Lrwd1	0.0169	0.1816361
Lyz1	0.017	0.37451626
Polr2m	0.017	-0.23607039
Nacc1	0.017	0.30754684
H2-Q6	0.017	0.78785485
Plscr4	0.017	0.36026659
Cdk12	0.017	0.24269331
Evx2	0.017	-0.26285645
Macrod2	0.017	-0.4057839
Cplx3	0.017	-0.33618491
Zfp236	0.0171	0.27553306
Gm21286	0.0171	0.42077147
Gm21286	0.0171	0.42077147
Bhlhe41	0.0171	-0.56165165
Hmcn1	0.0171	0.4025232
Wdr13	0.0172	0.28814288
Ndufb7	0.0172	-0.44202332
Kif26a	0.0172	0.20306099
Foxj2	0.0172	-0.24913785
Rad54l2	0.0172	0.25138945
Rps6	0.0172	0.28110211
Crhr1	0.0172	-0.30772307
LOC100045026	0.0172	-0.21751734
Szt2	0.0172	0.2136061
Ints4	0.0172	0.30871223
Gata5os	0.0172	0.229173
Cldn19	0.0173	0.27943068
Sypl2	0.0173	-0.23642729
Sars	0.0173	-0.23474922
Rasgrf1	0.0173	-0.22279569
Rmrp	0.0173	-0.47027323
Mir329	0.0173	0.29970445
Abca17	0.0173	-0.39953724
Tmub2	0.0173	0.21472871
Cops3	0.0173	-0.21923308
Rims3	0.0173	-0.25664211
Nuak1	0.0173	0.69243349
Plekhd1	0.0173	-0.29942898
Fam159b	0.0173	-0.24086426
LOC102632156	0.0174	-0.31830439
Agps	0.0174	0.32985171
Krt2	0.0174	-0.255103
Lpar3	0.0174	-0.2253992
Acadsb	0.0174	-0.22650097
Minpp1	0.0174	0.22338762
Fam227b	0.0174	-0.2565094
C8a	0.0174	-0.30582135
Adam30	0.0174	-0.21395336
Krt72	0.0174	-0.25962636
Spata2l	0.0174	-0.26399767
Xkr7	0.0174	-0.26463242
Calm4	0.0174	-0.18402016
Fam159a	0.0174	-0.28662065
Hook3	0.0174	-0.34888852
Wbp2	0.0175	-0.41424811
Ccser2	0.0175	0.22321638
Plekhg2	0.0175	0.25568701
6720489N17Rik	0.0175	0.45786091
Srpk2	0.0175	0.26079237
Ddx10	0.0175	0.3460727
Asph	0.0175	0.26568012
Mrpl46	0.0175	-0.32951871
Panx2	0.0175	-0.27421986
Zfp37	0.0175	0.35831272
Dhx8	0.0176	0.22243648
Lingo4	0.0176	-0.26979378
Mir323	0.0176	0.37618446
Tmem253	0.0176	-0.31293884
Gfral	0.0176	-0.21095789
Cdc5l	0.0176	0.24091743
Cdc5l	0.0176	0.24091743
4933407I18Rik	0.0176	-0.35875582
Xdh	0.0176	0.43208904
F11	0.0176	-0.21757655
Ak7	0.0176	-0.21226329
Txndc5	0.0176	0.30147379
Lhfpl1	0.0176	0.52108284
Zgrf1	0.0176	0.30261546
Antxrl	0.0176	-0.1794819
Szrd1	0.0176	-0.21291876
Emc10	0.0176	-0.28185117
Ptpn1	0.0177	0.32673946
Tpcn1	0.0177	-0.31124334
Slc25a29	0.0177	-0.33008116
BC048644	0.0177	-0.20922951
Foxp1	0.0177	0.26071573
U2af2	0.0177	0.21576344
Lyrm2	0.0177	0.25106409
Hmgb3	0.0177	0.35576168
Ankk1	0.0177	-0.24358085
Kirrel	0.0177	0.23836813
Tomm34	0.0177	0.22706072
Yipf3	0.0177	0.21919838
Aebp1	0.0178	-0.41333159
Ifna9	0.0178	-0.27220626
Psmb4	0.0178	0.19201847
Nelfe	0.0178	0.2565446
Cebpzos	0.0178	-0.2252882
Vmn1r235	0.0178	-0.2420345
Ugt2a2	0.0178	-0.1953715
Rfwd3	0.0178	0.23810009
Qk	0.0178	0.2907245
Serpinb12	0.0178	-0.20722842
5730409E04Rik	0.0178	-0.24949645
Zfp827	0.0178	0.37266527
Kpna2	0.0178	0.33077604
Snrnp35	0.0178	-0.2132842
Gm20831	0.0179	-0.18986687
Pik3ap1	0.0179	0.26117795
Sema6b	0.0179	0.22080994
Sema6b	0.0179	0.22080994
Dlc1	0.0179	0.3110566
Prnp	0.0179	-0.30203578
Gm5897	0.0179	-0.30960283
Gm21190	0.0179	-0.16885371
Tdrp	0.0179	-0.42560456
Fam160a1	0.0179	-0.38139397
Isx	0.0179	-0.27451758
Dusp14	0.0179	-0.43735314
Olfr348	0.0179	-0.2333568
Ctsg	0.0179	-0.33592169
Gm10390	0.0179	-0.40840913
Sike1	0.0179	0.67361096
Dusp22	0.018	-0.23630543
9330171B17Rik	0.018	-0.37539408
Tbx10	0.018	-0.27222541
Npy	0.018	-0.31229112
Ago3	0.018	0.32761729
Spaca7	0.018	-0.33805537
Mettl8	0.018	0.42564156
Rbm15	0.018	0.27495986
1810043G02Rik	0.018	0.19791971
Rtn4ip1	0.018	-0.25666956
Kcnj1	0.018	-0.20981094
Tmem39a	0.018	0.24073765
Kcnj3	0.018	0.30381534
Apex1	0.018	0.22124557
Rhob	0.0181	0.39902878
LOC102634459	0.0181	-0.23162635
LOC102634459	0.0181	-0.23162635
Mirlet7c-1	0.0181	0.3175913
Gyltl1b	0.0181	-0.28668958
Aldh3b1	0.0181	0.22761874
Cacnb2	0.0181	-0.30850626
Ikbip	0.0181	0.22360419
Zfp3	0.0181	-0.21990138
Ces1b	0.0181	-0.31908715
Ndfip1	0.0181	0.1869056
Ckb	0.0181	0.25195631
Olfr1491	0.0181	-0.19096869
Osr2	0.0181	-0.29031538
Ccdc57	0.0181	-0.23930949
Kcns1	0.0182	-0.33357009
Nenf	0.0182	-0.31376478
Rasa1	0.0182	0.27030589
Ensa	0.0182	-0.2145003
Rpgr	0.0182	0.29051889
Noa1	0.0182	-0.26997889
Arnt	0.0182	0.21449326
Dgat1	0.0182	0.54281514
Gm11961	0.0182	-0.28141417
BC080695	0.0182	-0.31458136
Sfxn4	0.0182	0.37689675
Sdc4	0.0182	0.38822397
Tmem129	0.0182	0.37467381
Nxpe5	0.0182	0.38846633
Hmcn1	0.0182	0.42409208
C030009H01Rik	0.0182	-0.34881527
Pold2	0.0182	-0.25344066
Sprr3	0.0182	-0.26731338
Socs1	0.0183	-0.24431649
Rbx1	0.0183	-0.29906862
Six1	0.0183	0.28001798
Clpsl2	0.0183	-0.2796025
Idi1	0.0183	-0.41315714
Cadm1	0.0183	0.278765
Cep63	0.0184	-0.22568837
Olfr805	0.0184	-0.21233622
Clta	0.0184	0.28016367
Ttc29	0.0184	-0.28615771
Tdrd6	0.0184	-0.30951648
Piezo2	0.0184	0.34607997
Krt15	0.0184	-0.23692103
Ccr10	0.0184	-0.26238327
Slitrk6	0.0184	0.55210763
1700028I16Rik	0.0184	-0.24466154
Gfer	0.0184	-0.44777318
Exosc8	0.0184	0.24447016
Nbn	0.0184	-0.36027193
Snrnp27	0.0184	-0.27339639
Gm2036	0.0184	0.25822929
Krt27	0.0184	-0.33886126
Fam92a	0.0184	0.26514342
Olfr970	0.0185	-0.30223891
Mir181b-2	0.0185	-0.41808416
Ctnnal1	0.0185	-0.26901495
Fxr1	0.0185	-0.2037223
A530032D15Rik	0.0185	-0.30667739
Mpz	0.0185	0.32299607
Trpc7	0.0185	-0.28492295
Gm6878	0.0185	-0.22471222
Gpr179	0.0185	-0.32134597
Rbm15b	0.0186	0.23375829
Kpna3	0.0186	-0.22296732
Mir212	0.0186	-0.26582981
Hmcn1	0.0186	0.30726523
Sowaha	0.0186	-0.28227852
Rax	0.0186	-0.25265501
Aldh18a1	0.0186	0.40955305
Krt6b	0.0186	-0.21087095
Akt3	0.0187	0.26141943
Wfs1	0.0187	0.38574466
Degs1	0.0187	0.18734964
Olfr3	0.0187	-0.19178471
Olfr1270	0.0187	-0.25821333
Mir568	0.0187	0.69043409
Btnl2	0.0187	-0.22890866
Hoxc9	0.0187	-0.28671535
Cngb1	0.0187	-0.26467771
Fam73a	0.0188	0.29518426
1700074P13Rik	0.0188	-0.19259083
Elk4	0.0188	0.33176692
Vps72	0.0188	-0.31886059
Nptx2	0.0188	-0.25502716
Fat4	0.0188	0.32129333
Nxph4	0.0188	-0.27703229
Ptpn21	0.0188	0.30958785
Thsd1	0.0188	0.21812258
Pbrm1	0.0188	0.36400363
Nr1h3	0.0188	-0.35053546
Amn	0.0189	-0.31708323
Mrpl11	0.0189	-0.24936177
Neurog2	0.0189	-0.19249735
Mbtps1	0.0189	0.32717941
Cacybp	0.0189	-0.30353043
Mir24-2	0.0189	-0.35387243
Atp5l	0.0189	-0.29200723
Llph	0.0189	0.25093468
Opn1sw	0.0189	0.26598856
Defb40	0.019	-0.25314299
Olfr310	0.019	-0.26451874
Dus1l	0.019	-0.24692167
Ralgapa1	0.019	-0.27373698
Neurog3	0.019	-0.31909782
Rpp14	0.019	-0.22656416
Ogfod3	0.019	-0.24378395
Coa6	0.019	-0.36783777
Sec24b	0.019	0.21673838
Irf2bp2	0.0191	0.27972951
Mapk11	0.0191	-0.35049263
Plekhb2	0.0191	-0.56262642
Pkp4	0.0191	0.41059429
Amy2a2	0.0191	-0.28034127
BC026585	0.0191	0.22355
LOC101055758	0.0191	0.41409079
Cst6	0.0191	-0.48794024
Gstp1	0.0191	-0.27895592
Hist1h2bg	0.0191	0.26303145
Desi1	0.0191	0.2138058
Helz2	0.0191	0.20147539
Ccdc66	0.0191	-0.20826557
Socs5	0.0191	0.18549644
Kpna7	0.0192	-0.19478704
Camkv	0.0192	0.17153598
Olfr121	0.0192	-0.19637275
Frmd6	0.0192	0.28612462
Gls	0.0192	-0.43577071
Mrpl54	0.0192	-0.41322623
Mc3r	0.0192	-0.29011462
Mrps14	0.0193	-0.22329142
Tns4	0.0193	0.34539645
Gpr25	0.0193	-0.27352974
Pgm1	0.0193	0.25436682
Tesk1	0.0193	-0.18800259
Ccl8	0.0193	0.96287568
Rab20	0.0193	0.27340272
Bmp10	0.0193	-0.2758282
Gm10791	0.0193	-0.23120617
Slc35e2	0.0193	0.61197603
Tbp	0.0194	0.21552566
Tsc2	0.0194	0.26863394
Atp5l	0.0194	-0.28662362
Epha3	0.0194	0.34629623
Ccdc85b	0.0194	-0.20650063
Add1	0.0194	0.32034721
Brf1	0.0194	0.24381005
Barhl2	0.0195	-0.25202771
Zfp941	0.0195	-0.27403078
Tmsb10	0.0195	0.54733579
Rhobtb3	0.0195	-0.29039477
Trappc12	0.0195	0.25102017
Mir135a-1	0.0195	-0.19978591
Arhgap1	0.0195	0.29317572
Pdilt	0.0195	-0.2158556
Cabp7	0.0195	-0.32204011
Gmfb	0.0195	0.18600064
Hck	0.0195	0.22488522
Ip6k3	0.0195	-0.2971826
1700039E15Rik	0.0195	-0.22671476
Mir342	0.0195	-0.24724857
Inhbc	0.0196	-0.20032843
Cnksr2	0.0196	0.24080178
Srsf5	0.0196	0.38119416
Ldb1	0.0196	0.27229169
Zfp329	0.0196	0.39827643
Prss32	0.0196	-0.2525593
Zfp622	0.0196	0.17819536
Olfr372	0.0196	-0.26433368
Fam135b	0.0196	-0.24458908
Dnajb5	0.0196	-0.23879626
Hyls1	0.0196	-0.25287831
Gm10653	0.0196	0.21155216
Slc26a6	0.0197	-0.28920659
Gm8098	0.0197	-0.28075387
S100z	0.0197	-0.27386731
Ssu2	0.0197	-0.24687991
Mtmr9	0.0197	0.2758715
2010106E10Rik	0.0197	-0.24307032
Mllt6	0.0197	-0.24889474
Mir92b	0.0197	-0.34270607
Igsf23	0.0197	-0.25087323
Ttc34	0.0197	-0.25642419
1700084E18Rik	0.0198	-0.25151217
Dhx38	0.0198	0.26111373
Rbmxl2	0.0198	-0.3391959
Psd3	0.0198	-0.38982103
P2rx2	0.0198	-0.2129916
4833408A19Rik	0.0198	0.25920803
Irx1	0.0198	-0.29370954
Dhx35	0.0198	-0.26938117
1110037F02Rik	0.0198	0.28062839
Tusc2	0.0198	-0.30007318
Olfr994	0.0199	-0.1845216
Chrdl1	0.0199	0.38514008
Mrpl33	0.0199	0.29843749
Cep128	0.0199	0.26553285
Depdc5	0.0199	0.31710734
Ppp1r12b	0.0199	0.409566
Ispd	0.0199	0.28195573
Gm10763	0.0199	-0.2662656
Tpd52l1	0.0199	0.27544354
Timm50	0.02	-0.24716623
Hsfy2	0.02	-0.20006815
Pou1f1	0.02	-0.25014143
Lypd3	0.02	-0.29276458
Runx2os1	0.02	-0.25219962
Cacul1	0.02	-0.18239732
Krtap4-16	0.02	-0.23674157
Apoh	0.02	-0.24062961
Hsh2d	0.02	-0.26021287
Ppp1r1b	0.02	-0.27279197
Fbxl22	0.0201	-0.27462617
Gm807	0.0201	0.2750213
Dmrtb1	0.0201	-0.26803181
Slc32a1	0.0201	-0.23842682
Obox5	0.0201	-0.17180728
Slco2b1	0.0201	0.36052092
9530002B09Rik	0.0201	-0.29059825
Zfp655	0.0201	0.20082856
Ubald1	0.0201	-0.43510139
Rap1gap	0.0201	-0.25768482
Ppp4r1	0.0201	0.25578907
Anln	0.0201	0.44950341
Slc25a48	0.0201	-0.19198142
Mir128-1	0.0201	0.33910216
Scyl3	0.0201	0.3338755
Bmi1	0.0201	-0.34028126
Sox21	0.0201	-0.24116993
Gm32899	0.0202	0.29085094
Unc5d	0.0202	-0.19628301
Thnsl1	0.0202	-0.27343407
2410002F23Rik	0.0202	0.35733879
Lrrc8c	0.0202	0.39488933
Mcu	0.0202	0.18227973
Thop1	0.0203	-0.24840206
Spcs3	0.0203	0.19077077
Cdc5l	0.0203	0.23298262
Cdc5l	0.0203	0.23298262
Cdc5l	0.0203	0.23298262
Cdc5l	0.0203	0.23298262
Cdc5l	0.0203	0.23298262
Cdc5l	0.0203	0.23298262
Snord116l2	0.0203	0.335826
Glt8d1	0.0203	0.2955058
Gm10190	0.0203	-0.29246676
Tspan11	0.0203	0.21838861
Carm1	0.0203	-0.38324981
Cpsf4l	0.0203	-0.20790388
Gm9754	0.0204	-0.27762644
Cplx4	0.0204	-0.25395462
Olfr1016	0.0204	-0.26479057
Srsf11	0.0204	0.34361264
Clcn7	0.0204	0.31496749
Elmo3	0.0204	0.19146246
Hjurp	0.0204	0.52656185
Fignl2	0.0204	-0.34052075
Msr1	0.0204	0.2854551
Tcam1	0.0204	-0.309205
Maats1	0.0204	-0.264593
Gm906	0.0204	-0.29274992
Gm13102	0.0204	-0.24648627
AY036118	0.0204	-0.33765421
Zic4	0.0205	-0.28452137
Gm5468	0.0205	-0.27875794
Ntf3	0.0205	-0.21435031
Spdye4a	0.0205	-0.26276736
Kcnh8	0.0205	-0.30022682
Hsdl1	0.0205	-0.2391232
a	0.0205	-0.2503722
Atp8b2	0.0205	0.22358114
Hsf2	0.0205	0.23315143
Socs6	0.0205	0.36708292
Tube1	0.0206	-0.23436144
Apoa1	0.0206	-0.28303399
Zfp292	0.0206	0.37262456
Ren2	0.0206	-0.319938
Zxda	0.0206	0.1959187
A330023F24Rik	0.0206	-0.25701374
Fbxo24	0.0206	-0.20353138
Gm10371	0.0206	-0.21051725
Nkx1-2	0.0206	-0.30415132
Cep19	0.0206	-0.26662955
Lman1l	0.0206	-0.23856034
Myadm	0.0206	0.31598245
Camta1	0.0206	-0.48301574
Kcnh2	0.0207	-0.28077072
Adamts9	0.0207	0.7474
Enam	0.0207	-0.19887579
Rit1	0.0207	0.23031222
Srek1ip1	0.0207	-0.23937491
Arfgef2	0.0207	0.22705326
B230319C09Rik	0.0207	-0.32262619
Prp2	0.0207	-0.4757802
Trim29	0.0207	-0.36318507
5730408K05Rik	0.0208	-0.74229163
Gm340	0.0208	0.27974424
Mixl1	0.0208	-0.27543679
Irak4	0.0208	0.2696279
Psmc4	0.0208	0.25803472
Olfr620	0.0208	-0.20709742
Entpd7	0.0208	0.20100231
2310001K24Rik	0.0208	-0.25857674
Lmln	0.0208	0.32590885
Tmem74b	0.0208	-0.27054921
Socs2	0.0208	0.36036121
Bri3	0.0209	-0.27043859
Paip1	0.0209	-0.28222243
Cpne1	0.0209	0.29969604
BC048546	0.0209	-0.24501742
Nhlrc3	0.0209	0.27085934
Nabp2	0.0209	-0.20722863
Tmem169	0.021	-0.25885065
Tspan4	0.021	0.48586123
4930515G13Rik	0.021	-0.28786493
Nbn	0.021	-0.24623391
1700008O03Rik	0.021	-0.25075119
Six6	0.021	-0.26000111
Vmn1r58	0.021	-0.3445056
Ifnb1	0.021	-0.24467299
3010085J16Rik	0.0211	0.30316164
Stk32c	0.0211	-0.18687984
Twist1	0.0211	-0.29289271
Il1rl1	0.0211	0.2082804
Mcm7	0.0211	0.20936274
Lpp	0.0211	0.46573772
Wfdc18	0.0211	-0.17390319
Slf1	0.0211	0.37415033
Prame	0.0211	-0.22425199
Hrct1	0.0211	-0.3567399
Dyx1c1	0.0212	-0.26665538
Msln	0.0212	-0.28435988
Xpa	0.0212	0.26482204
4833422C13Rik	0.0212	0.28836069
Samd9l	0.0212	0.38995935
Tmem194b	0.0212	0.19668348
5330417C22Rik	0.0212	-0.20722689
Gm11696	0.0212	-0.33694503
Brinp1	0.0212	-0.25956695
Zmpste24	0.0212	0.23811577
Fbxw17	0.0212	0.2305108
Rpl21	0.0213	0.16439152
Brk1	0.0213	0.20155685
Ube4b	0.0213	0.28775329
Det1	0.0213	-0.33549279
Olfr1311	0.0213	-0.17105392
Stap2	0.0213	-0.42650842
Cd209g	0.0213	-0.35015272
Rpl9	0.0213	0.21440257
Sap30bp	0.0213	0.24953881
Gm10588	0.0213	-0.20797945
Prob1	0.0213	0.30504885
Nlrc5	0.0214	0.25138315
Alox12b	0.0214	-0.22407295
Trps1	0.0214	0.30553991
Vps29	0.0214	0.21751642
4930553M12Rik	0.0214	-0.25718721
Ms4a10	0.0214	-0.34124851
Dcaf10	0.0214	0.23473353
Mob3b	0.0214	0.3395091
Anapc10	0.0214	0.22539583
Lect2	0.0214	-0.23420439
Evi5	0.0214	0.18245126
Yars2	0.0214	-0.27853145
Serpinb9g	0.0214	-0.2380389
Gm10653	0.0215	0.17630806
Tm4sf20	0.0215	-0.20667648
Stk36	0.0215	0.27335679
Gdf3	0.0215	-0.30930893
Supt3	0.0215	0.387855
Kctd21	0.0215	-0.27088835
Tac2	0.0215	-0.21077539
Inhbe	0.0215	-0.34950028
Gm7982	0.0215	-0.24484231
Dgcr8	0.0216	0.28099719
Hip1r	0.0216	0.28841324
Hrnr	0.0216	-0.23952531
Atrnl1	0.0216	0.39806512
Plb1	0.0216	-0.49281675
Gm20917	0.0216	-0.23532669
Egfl6	0.0216	-0.46697525
Mrs2	0.0216	-0.26072376
Gm5607	0.0217	-0.22134185
Rps6	0.0217	0.27086025
1700040L02Rik	0.0217	-0.27473399
Cacna1h	0.0217	0.20397597
Gtsf1	0.0217	-0.21053072
Mtpap	0.0217	0.21857852
Sec11a	0.0217	0.251799
Clptm1	0.0217	0.18734106
Sftpa1	0.0217	-0.25353761
Arid4b	0.0218	0.2488158
Top3b	0.0218	0.32603618
Gm9981	0.0218	-0.54744285
Mttp	0.0218	0.29403358
Olfr110	0.0218	-0.24963708
Hc	0.0218	-0.2973544
Mroh4	0.0218	-0.1868082
Pik3r4	0.0218	0.26902736
Abcb11	0.0219	-0.20746453
Mier1	0.0219	0.29309681
Olfr1445	0.0219	-0.30247676
Il1f10	0.0219	-0.33265713
A230006K03Rik	0.0219	-0.2766764
Iqcd	0.022	-0.26528384
Gm6313	0.022	-0.18727018
Tmem132b	0.022	-0.26663589
Gm9909	0.022	-0.38588136
Gdap2	0.022	0.4439509
Zfp873	0.022	0.2299969
Gm10143	0.022	-0.21658389
Ttc37	0.022	-0.27016074
Coro1b	0.022	0.21875832
Cyp3a41b	0.022	-0.21774769
Rnase2b	0.022	-0.19196064
Birc5	0.0221	0.19565974
Ttll11	0.0221	0.27136136
Hoxd1	0.0221	-0.26137557
Arf3	0.0221	0.24158078
Hapln3	0.0221	-0.24531951
Brsk1	0.0221	0.27087251
Scamp5	0.0221	0.20378122
Snord55	0.0221	-0.29144084
Wrn	0.0221	0.27353613
Slc25a39	0.0221	-0.23980392
Bbx	0.0221	0.34712466
Wdr7	0.0221	-0.22261137
Ntsr2	0.0222	-0.27436258
Cenpb	0.0222	-0.18964027
Hao1	0.0222	-0.20308022
Ppfia3	0.0222	-0.23611833
Atp9b	0.0222	0.19691996
Phf11c	0.0222	0.23294644
Arhgef9	0.0222	-0.2514994
Crygf	0.0222	-0.20543647
Cdk20	0.0222	-0.22703984
Arfgef2	0.0222	0.22864025
Gm15097	0.0222	-0.19190201
Cks2	0.0223	0.3345429
Rab11b	0.0223	0.24346469
Ncoa2	0.0223	0.21775483
Lgals7	0.0223	-0.27641222
Zfp397	0.0223	0.22983464
Rtn4rl2	0.0223	-0.25451159
Ankrd33	0.0223	-0.26174132
Mpdu1	0.0223	0.26408933
Mir106b	0.0223	0.34616396
Cfp	0.0224	0.3148741
Cenpj	0.0224	0.34570377
Ddx60	0.0224	0.35962136
Gm21276	0.0224	-0.23963425
St3gal2	0.0224	-0.3252037
Vps37c	0.0224	0.25756178
Mycbpap	0.0224	-0.19051945
Sdsl	0.0224	-0.20217844
Serpina1c	0.0224	-0.48002536
Rn7s2	0.0225	-0.30295429
Rn7s2	0.0225	-0.30295429
B9d1os	0.0225	-0.20221222
Zfp157	0.0225	0.29243147
Btbd17	0.0225	-0.27339226
Tbcc	0.0225	0.25256652
Klk6	0.0225	-0.26585742
Synj2bp-cox16	0.0225	-0.35240354
AF067063	0.0225	-0.30148246
Gldc	0.0225	-0.20615191
Kdm4d	0.0225	-0.27906826
Ccdc162	0.0225	-0.23147507
Gpr150	0.0225	-0.3028187
Gm5444	0.0225	-0.27191195
Hnrnpc	0.0225	0.22684419
Adamts6	0.0225	0.37998655
Btg2	0.0225	0.60375687
Tcf7	0.0225	-0.18753293
Spef2	0.0226	-0.20597642
Gm9888	0.0226	-0.2884354
Gsk3b	0.0226	0.34686833
Slc30a10	0.0226	-0.30233853
Snord115	0.0226	0.20829027
Snord115	0.0226	0.20829027
Snord115	0.0226	0.2273013
Snord115	0.0226	0.2273013
Snord115	0.0226	0.2273013
Serpinb9g	0.0226	-0.19985895
Mir296	0.0226	-0.28051753
Urad	0.0226	-0.33484444
Tcf20	0.0226	0.24509508
Npc1	0.0226	-0.34704871
Zfp395	0.0226	-0.26990189
Golga1	0.0227	0.20449948
Trib3	0.0227	-0.17557866
Lrg1	0.0227	-0.56412653
Thtpa	0.0227	-0.28169677
Foxe1	0.0227	-0.28840802
Eri3	0.0228	-0.21791654
Ces1g	0.0228	-0.29056026
Olfr1356	0.0228	-0.15068665
Fkbp15	0.0228	0.25877541
Hmcn1	0.0228	0.26220371
Polr2i	0.0228	-0.56159315
Stox2	0.0228	0.4994346
Epha10	0.0228	-0.21258523
Git1	0.0228	0.28936642
Atp13a2	0.0228	-0.21806123
1700003F12Rik	0.0228	-0.30597033
Gm20831	0.0228	-0.17024373
Bckdhb	0.0228	-0.2931009
Arhgdig	0.0228	0.31110417
Slc10a5	0.0228	-0.26622725
Igkv4-59	0.0228	-0.32849731
Gm715	0.0228	-0.2438324
Olfr1134	0.0228	-0.27695862
Pof1b	0.0228	-0.18248393
Atp6v0c	0.0229	0.27695557
Slc27a4	0.0229	0.22481906
Def8	0.0229	-0.24712127
Itgax	0.0229	0.29834481
Ksr2	0.0229	-0.22202711
Snx3	0.0229	-0.2030298
Fau	0.0229	0.24952745
Rif1	0.0229	0.25617942
Cd101	0.0229	0.24864494
Defb28	0.0229	-0.24759786
Ffar1	0.0229	-0.33988149
Mturn	0.0229	0.28935962
Slc35b4	0.023	0.28335841
B230110C06Rik	0.023	-0.19797401
Arhgef38	0.023	-0.2642747
Gsk3a	0.023	-0.19124348
Tbc1d25	0.023	0.31733089
Epha4	0.023	0.33046018
Wbscr16	0.023	-0.20918129
Slc43a3	0.023	0.50411171
4930597O21Rik	0.023	-0.29116982
Ptpa	0.023	0.28709118
Grip1	0.023	-0.21122827
Ampd2	0.0231	0.26421584
Ctdspl	0.0231	0.23416759
Tmem28	0.0231	-0.38407021
Sppl2a	0.0231	-0.18499389
Bace2	0.0231	0.22986164
Gm10653	0.0231	0.19568504
Ctsh	0.0232	0.24903421
H2-Q4	0.0232	0.63529467
Olfr683	0.0232	-0.22668858
Rab2b	0.0232	0.36233825
Chd7	0.0232	-0.37750851
Myo18b	0.0232	0.29002572
Jade3	0.0232	0.3685151
Ptger1	0.0232	-0.31176926
Ptprr	0.0232	-0.1874055
4932427H20Rik	0.0233	-0.32225208
Bptf	0.0233	0.25105785
Olfr876	0.0233	-0.2463431
A530099J19Rik	0.0233	0.30131856
Eef1akmt1	0.0233	0.26630826
Ston1	0.0233	0.40863934
Rnf212b	0.0233	-0.19188826
Zdhhc3	0.0233	-0.18782856
Zfand6	0.0233	-0.22737518
Map3k1	0.0233	0.29671719
Bri3bp	0.0233	0.22243718
S100pbp	0.0233	0.2501612
Tnfrsf13c	0.0233	-0.27773265
Lpcat3	0.0234	0.25911155
Wnt6	0.0234	-0.22211007
Porcn	0.0234	0.2450929
Prss36	0.0234	-0.20192891
Smg6	0.0234	0.30225482
F830002L21Rik	0.0234	-0.19287422
Kremen2	0.0234	-0.2135577
Olfr224	0.0234	-0.2463346
Hnrnpab	0.0234	0.17744313
Cd27	0.0234	-0.29216931
Ptchd4	0.0234	-0.33157021
Rgs17	0.0235	-0.19892559
Trak2	0.0235	-0.32417375
Bmp3	0.0235	-0.23602467
Psors1c2	0.0235	-0.29571395
Sned1	0.0235	0.25780606
Nfx1	0.0235	0.23941312
Ankhd1	0.0235	0.35704536
Tbl2	0.0235	0.22646502
Foxa1	0.0235	-0.27190213
Olfr486	0.0235	-0.23346057
Cenpl	0.0236	0.24541778
Gm21637	0.0236	-0.28601178
Gm21637	0.0236	-0.28601178
Gm21637	0.0236	-0.28601178
Otop2	0.0236	-0.18757184
Ltk	0.0236	-0.223708
Capn1	0.0236	-0.26496447
Rcor3	0.0236	-0.2882949
Dmp1	0.0236	-0.25680088
Krt71	0.0236	-0.26681527
Olfr611	0.0236	-0.36095581
Fcamr	0.0237	-0.19935392
Olfr220	0.0237	-0.19830309
Wt1	0.0237	-0.24877517
Tbck	0.0237	0.31114862
Hn1l	0.0237	0.25414462
Nap1l5	0.0237	-0.20192187
Polr2d	0.0237	0.2437309
Mrpl57	0.0237	-0.17592072
Skp2	0.0237	0.2578871
Erp29	0.0237	0.28120609
Slc36a2	0.0237	0.65628895
B3gat1	0.0237	-0.27070013
Cox7b2	0.0237	-0.18319784
Nol7	0.0237	-0.31584668
Gm15023	0.0237	-0.26491665
Gm15023	0.0237	-0.26491665
Sec16a	0.0237	0.23531268
Ccdc113	0.0238	-0.2504637
Trpm3	0.0238	0.152211
Zfp830	0.0238	-0.20313917
Has1	0.0238	-0.21318038
Sprr2a3	0.0238	-0.33534706
Sprr2a3	0.0238	-0.33534706
Gm1604a	0.0238	-0.15551765
Fam83b	0.0238	-0.17862419
Stk39	0.0239	0.27098944
Gm5766	0.0239	0.20342
Rbmy	0.0239	-0.17405994
Erv3	0.0239	-0.26976621
Defb48	0.0239	-0.23609642
Gm10382	0.0239	-0.33191058
Elf1	0.0239	0.24361223
Hectd2	0.0239	-0.34509696
Clec16a	0.024	-0.25072407
Fbl	0.024	0.19925613
Zbp1	0.024	0.36377996
Vmn1r19	0.024	-0.27609577
Ccdc158	0.024	-0.31270169
Srsf5	0.024	0.36037102
Spata18	0.024	-0.22362543
Spop	0.024	-0.37047474
Hmga1-rs1	0.024	-0.26002848
Ankrd17	0.024	0.29339516
Cyp21a1	0.024	-0.27226669
Rab5a	0.0241	0.26776325
Olfr1461	0.0241	-0.25231166
Ccnc	0.0241	0.2433822
Pam16	0.0241	-0.35245228
Tceal3	0.0241	0.34422559
Rps6	0.0241	0.26466049
